File,Magnitude_Vel,Hor_Vel,Vert_Vel,Magnitude_Acc,Hor_Acc,Vert_Acc,Magnitude_Jerk,Hor_Jerk,Vert_Jerk,NCV
Dataset\hw_dataset\parkinson\P_02100001.txt,0.2010297321707739,0.13879698759566794,0.11473758018977841,0.0007476463913509961,0.0005167307403436096,0.0004494834355124696,7.89421501857087e-06,5.625744333500478e-06,4.426580166713988e-06,143.33333333333334
Dataset\hw_dataset\parkinson\P_02100002.txt,0.07131420436405887,0.047285971775767696,0.0438039334223895,0.0003380424033662113,0.00021890337609835998,0.00020487617082432422,5.4674639588628535e-06,3.507400643603636e-06,3.326710433838106e-06,317.1666666666667
Dataset\hw_dataset\parkinson\P_05060003.txt,0.06821169357381995,0.0428016428016428,0.04347298791743236,0.00027004086083829245,0.000174852679431434,0.00016347789241562136,4.126966163558064e-06,2.7051268187676395e-06,2.563666066236218e-06,240.0
Dataset\hw_dataset\parkinson\P_05060004.txt,0.05953523103776465,0.03771558302808302,0.038585927960927954,0.00019645265691473982,0.00011962863926991752,0.00011997312237302131,3.5627493615282356e-06,2.2159790126098626e-06,2.216269273880239e-06,315.85714285714283
Dataset\hw_dataset\parkinson\P_09100001.txt,0.0760646320500834,0.049734326975706296,0.04842743463433118,0.0002054694048109947,0.0001306492095748975,0.00012218059672335497,3.356960713472556e-06,2.15458420383498e-06,2.0934370172120277e-06,210.4
Dataset\hw_dataset\parkinson\P_09100003.txt,0.029825999082780937,0.019007185368441912,0.01816223334547942,0.0002276899534093313,0.00014080015136189194,0.00013831438883887527,4.089265889433124e-06,2.475727730438131e-06,2.6419787881522605e-06,208.5
Dataset\hw_dataset\parkinson\P_09100005.txt,0.03546179602257971,0.02133963460503577,0.023452776509011224,0.00019935838701889383,0.00012165560915107055,0.00012550443309414724,3.47925066994935e-06,2.119877085236727e-06,2.227258737780448e-06,255.875
Dataset\hw_dataset\parkinson\P_11120003.txt,0.06395426436269759,0.04096324920500745,0.04105515973647842,0.00018261358135269407,0.00011308778541545774,0.00011247058422105596,3.2576861671742297e-06,2.0846507731969176e-06,2.034133670855253e-06,363.3333333333333
Dataset\hw_dataset\parkinson\P_11120004.txt,0.10462663618681463,0.06737536420076103,0.06673191593826515,0.0004201667615806241,0.0002429425428412257,0.00028845000028072276,7.482642145323795e-06,4.294943538227966e-06,5.21993116611503e-06,310.1666666666667
Dataset\hw_dataset\parkinson\P_11120005.txt,0.1461818488327184,0.09789987789987789,0.09104229104229104,0.0005205768231316735,0.00033051247470974085,0.00032400694064233773,7.492261741482694e-06,4.7211764939243475e-06,4.832198320872292e-06,323.6
Dataset\hw_dataset\parkinson\P_12060001.txt,0.18146025349547673,0.12392389607579478,0.10726418447937433,0.0004999313827365207,0.00031389700921024297,0.0003179867000661591,5.693942516034112e-06,3.5000699216418377e-06,3.565330651814724e-06,194.75
Dataset\hw_dataset\parkinson\P_12060002.txt,0.09671176127516806,0.06083285135916714,0.06235460445986761,0.000735013675307163,0.0004484025642232515,0.0004893237073402587,1.3883839765845718e-05,8.180258516554854e-06,9.605516798157027e-06,370.2
Dataset\hw_dataset\parkinson\P_16100003.txt,0.09069889051146743,0.058939772673678247,0.054841296043012785,0.00021027484074775742,0.00014114244094034419,0.00011899209796140452,3.2281214639810536e-06,2.1316712369327024e-06,1.9628027247091904e-06,323.1666666666667
Dataset\hw_dataset\parkinson\P_16100004.txt,0.04220884902165853,0.02733325018271255,0.025533681107157813,0.0002134790526092319,0.0001313303851557149,0.0001316909414233031,3.8015021179365045e-06,2.271999675221217e-06,2.518784870774405e-06,325.2857142857143
Dataset\hw_dataset\parkinson\P_23100002.txt,0.11390114844635302,0.07441442594281023,0.07131606869598135,0.00026697976802713395,0.00016637995382934653,0.0001623469593073089,3.790842455848214e-06,2.4116466507329193e-06,2.38172000646508e-06,292.57142857142856
Dataset\hw_dataset\parkinson\P_23100003.txt,0.04696581523395319,0.03238452825730372,0.02748677129593449,0.00021573470794833372,0.00013284057204603902,0.00013613085155373338,3.7964841049103096e-06,2.313444925188958e-06,2.4746243373573413e-06,278.57142857142856
Dataset\hw_dataset\parkinson\P_26060001.txt,0.47382465232171006,0.3301698301698302,0.25860139860139864,0.0020557380631759732,0.0015094353583025406,0.0011130677057959652,1.3685687339089618e-05,1.0814044252043272e-05,6.378302978815837e-06,178.0
Dataset\hw_dataset\parkinson\P_26060002.txt,0.08332811327061482,0.060051760716212536,0.04625850340136054,0.00028071140509076963,0.00018897177981427066,0.00016131165447404763,4.799794751612748e-06,3.1109516206059998e-06,2.997248906553767e-06,246.44444444444446
Dataset\hw_dataset\parkinson\P_26060003.txt,0.10549965368514641,0.0753166353166353,0.05677589677589678,0.0003030091478736669,0.00020856567002450102,0.00017291075879226857,4.853853266511737e-06,3.2103719531806167e-06,2.9199153452714146e-06,246.25
Dataset\hw_dataset\parkinson\P_26060006.txt,0.12793390113613184,0.08883327260290612,0.07393577917138125,0.0005015685154294838,0.0003086520973546228,0.0003285084129502868,8.956460668504027e-06,5.305725842738257e-06,6.063780504505175e-06,292.8333333333333
Dataset\hw_dataset\parkinson\P_26060007.txt,0.07392249609368606,0.054031810442360904,0.04094578236493374,0.0002145378268056165,0.00014888750897729328,0.00011729542311778086,3.3256905090025775e-06,2.348056804592853e-06,1.8484770281334001e-06,405.8
Dataset\hw_dataset\parkinson\P_27110001.txt,0.037838816713975314,0.023779164976987118,0.024301026660373305,0.00015502487066550313,9.491227806246121e-05,9.211821959074705e-05,2.8085066223528586e-06,1.7531806383035576e-06,1.7282959137119188e-06,262.14285714285717
Dataset\hw_dataset\parkinson\P_27110003.txt,0.023502383381535,0.014738213172898406,0.014392943836116985,0.000174077723699777,0.00011339748295656164,9.877114777869699e-05,3.2941595409173684e-06,2.1989528602265607e-06,1.9165570035706474e-06,365.5
Dataset\hw_dataset\parkinson\P_30100001.txt,0.05095348107081759,0.031855744399839216,0.03178059261028077,0.0002134304825859551,0.0001319684498417867,0.00012958793739813372,3.7944975137345995e-06,2.349037855670471e-06,2.3698880283054538e-06,188.7
Dataset\hw_dataset\parkinson\P_30100002.txt,0.0649873497720402,0.040175034992108165,0.04312293397659251,0.00020644067159579475,0.00012164060477622553,0.00013132270181031818,3.7840452609594083e-06,2.194279434104911e-06,2.5437211711115434e-06,241.75
Dataset\hw_dataset\parkinson\P_02100001.txt,0.2010297321707739,0.13879698759566794,0.11473758018977841,0.0007476463913509961,0.0005167307403436096,0.0004494834355124696,7.89421501857087e-06,5.625744333500478e-06,4.426580166713988e-06,143.33333333333334
Dataset\hw_dataset\parkinson\P_02100002.txt,0.07131420436405887,0.047285971775767696,0.0438039334223895,0.0003380424033662113,0.00021890337609835998,0.00020487617082432422,5.4674639588628535e-06,3.507400643603636e-06,3.326710433838106e-06,317.1666666666667
Dataset\hw_dataset\parkinson\P_05060003.txt,0.06821169357381995,0.0428016428016428,0.04347298791743236,0.00027004086083829245,0.000174852679431434,0.00016347789241562136,4.126966163558064e-06,2.7051268187676395e-06,2.563666066236218e-06,240.0
Dataset\hw_dataset\parkinson\P_05060004.txt,0.05953523103776465,0.03771558302808302,0.038585927960927954,0.00019645265691473982,0.00011962863926991752,0.00011997312237302131,3.5627493615282356e-06,2.2159790126098626e-06,2.216269273880239e-06,315.85714285714283
Dataset\hw_dataset\parkinson\P_09100001.txt,0.0760646320500834,0.049734326975706296,0.04842743463433118,0.0002054694048109947,0.0001306492095748975,0.00012218059672335497,3.356960713472556e-06,2.15458420383498e-06,2.0934370172120277e-06,210.4
Dataset\hw_dataset\parkinson\P_09100003.txt,0.029825999082780937,0.019007185368441912,0.01816223334547942,0.0002276899534093313,0.00014080015136189194,0.00013831438883887527,4.089265889433124e-06,2.475727730438131e-06,2.6419787881522605e-06,208.5
Dataset\hw_dataset\parkinson\P_09100005.txt,0.03546179602257971,0.02133963460503577,0.023452776509011224,0.00019935838701889383,0.00012165560915107055,0.00012550443309414724,3.47925066994935e-06,2.119877085236727e-06,2.227258737780448e-06,255.875
Dataset\hw_dataset\parkinson\P_11120003.txt,0.06395426436269759,0.04096324920500745,0.04105515973647842,0.00018261358135269407,0.00011308778541545774,0.00011247058422105596,3.2576861671742297e-06,2.0846507731969176e-06,2.034133670855253e-06,363.3333333333333
Dataset\hw_dataset\parkinson\P_11120004.txt,0.10462663618681463,0.06737536420076103,0.06673191593826515,0.0004201667615806241,0.0002429425428412257,0.00028845000028072276,7.482642145323795e-06,4.294943538227966e-06,5.21993116611503e-06,310.1666666666667
Dataset\hw_dataset\parkinson\P_11120005.txt,0.1461818488327184,0.09789987789987789,0.09104229104229104,0.0005205768231316735,0.00033051247470974085,0.00032400694064233773,7.492261741482694e-06,4.7211764939243475e-06,4.832198320872292e-06,323.6
Dataset\hw_dataset\parkinson\P_12060001.txt,0.18146025349547673,0.12392389607579478,0.10726418447937433,0.0004999313827365207,0.00031389700921024297,0.0003179867000661591,5.693942516034112e-06,3.5000699216418377e-06,3.565330651814724e-06,194.75
Dataset\hw_dataset\parkinson\P_12060002.txt,0.09671176127516806,0.06083285135916714,0.06235460445986761,0.000735013675307163,0.0004484025642232515,0.0004893237073402587,1.3883839765845718e-05,8.180258516554854e-06,9.605516798157027e-06,370.2
Dataset\hw_dataset\parkinson\P_16100003.txt,0.09069889051146743,0.058939772673678247,0.054841296043012785,0.00021027484074775742,0.00014114244094034419,0.00011899209796140452,3.2281214639810536e-06,2.1316712369327024e-06,1.9628027247091904e-06,323.1666666666667
Dataset\hw_dataset\parkinson\P_16100004.txt,0.04220884902165853,0.02733325018271255,0.025533681107157813,0.0002134790526092319,0.0001313303851557149,0.0001316909414233031,3.8015021179365045e-06,2.271999675221217e-06,2.518784870774405e-06,325.2857142857143
Dataset\hw_dataset\parkinson\P_23100002.txt,0.11390114844635302,0.07441442594281023,0.07131606869598135,0.00026697976802713395,0.00016637995382934653,0.0001623469593073089,3.790842455848214e-06,2.4116466507329193e-06,2.38172000646508e-06,292.57142857142856
Dataset\hw_dataset\parkinson\P_23100003.txt,0.04696581523395319,0.03238452825730372,0.02748677129593449,0.00021573470794833372,0.00013284057204603902,0.00013613085155373338,3.7964841049103096e-06,2.313444925188958e-06,2.4746243373573413e-06,278.57142857142856
Dataset\hw_dataset\parkinson\P_26060001.txt,0.47382465232171006,0.3301698301698302,0.25860139860139864,0.0020557380631759732,0.0015094353583025406,0.0011130677057959652,1.3685687339089618e-05,1.0814044252043272e-05,6.378302978815837e-06,178.0
Dataset\hw_dataset\parkinson\P_26060002.txt,0.08332811327061482,0.060051760716212536,0.04625850340136054,0.00028071140509076963,0.00018897177981427066,0.00016131165447404763,4.799794751612748e-06,3.1109516206059998e-06,2.997248906553767e-06,246.44444444444446
Dataset\hw_dataset\parkinson\P_26060003.txt,0.10549965368514641,0.0753166353166353,0.05677589677589678,0.0003030091478736669,0.00020856567002450102,0.00017291075879226857,4.853853266511737e-06,3.2103719531806167e-06,2.9199153452714146e-06,246.25
Dataset\hw_dataset\parkinson\P_26060006.txt,0.12793390113613184,0.08883327260290612,0.07393577917138125,0.0005015685154294838,0.0003086520973546228,0.0003285084129502868,8.956460668504027e-06,5.305725842738257e-06,6.063780504505175e-06,292.8333333333333
Dataset\hw_dataset\parkinson\P_26060007.txt,0.07392249609368606,0.054031810442360904,0.04094578236493374,0.0002145378268056165,0.00014888750897729328,0.00011729542311778086,3.3256905090025775e-06,2.348056804592853e-06,1.8484770281334001e-06,405.8
Dataset\hw_dataset\parkinson\P_27110001.txt,0.037838816713975314,0.023779164976987118,0.024301026660373305,0.00015502487066550313,9.491227806246121e-05,9.211821959074705e-05,2.8085066223528586e-06,1.7531806383035576e-06,1.7282959137119188e-06,262.14285714285717
Dataset\hw_dataset\parkinson\P_27110003.txt,0.023502383381535,0.014738213172898406,0.014392943836116985,0.000174077723699777,0.00011339748295656164,9.877114777869699e-05,3.2941595409173684e-06,2.1989528602265607e-06,1.9165570035706474e-06,365.5
Dataset\hw_dataset\parkinson\P_30100001.txt,0.05095348107081759,0.031855744399839216,0.03178059261028077,0.0002134304825859551,0.0001319684498417867,0.00012958793739813372,3.7944975137345995e-06,2.349037855670471e-06,2.3698880283054538e-06,188.7
Dataset\hw_dataset\parkinson\P_30100002.txt,0.0649873497720402,0.040175034992108165,0.04312293397659251,0.00020644067159579475,0.00012164060477622553,0.00013132270181031818,3.7840452609594083e-06,2.194279434104911e-06,2.5437211711115434e-06,241.75
